act_name,act_year,remap_act_name,remap_act_year
33,,Securities,1933.0
34,,Securities Exchange,1934.0
35,,Public Utility Holding Company,1935.0
40,,Investment Company,1940.0
1933,,Securities,1933.0
1934,,Securities Exchange,1934.0
1935,,Public Utility Holding Company,1935.0
1940,,Investment Company,1940.0
21st Century,2008.0,Check Clearing for the 21st Century,2008.0
21st Century Communications And Video Accessibility,2011.0,,
Accountable Pipeline Safety and Partnership,1996.0,,
Age Discrimination In Employment,1967.0,,
Air Transportation Safety And System Stabilization,2001.0,,
Airline Deregulation,1978.0,,
Airport Noise And Capacity,1990.0,,
Alcoholic Beverage Labeling,1988.0,Anti Drug Abuse,1988.0
Alternative Energy Portfolio Standards,2004.0,,
American Clean Energy And Security,2009.0,,
American Job Creation,2004.0,American Jobs Creation,2004.0
American Jobs Creation,2004.0,,
American Jobs Creations,2004.0,American Jobs Creation,2004.0
American Microturbine Manufacturing and Clean Energy Deployment,2014.0,,
American Recovery And Reinvestment,2009.0,,
American Recovery And Reinvestment Tax,2009.0,American Recovery And Reinvestment,2009.0
American Taxpayer Relief,2012.0,,
American With Disabilities,1990.0,Americans With Disabilities,1990.0
Americans With 6 Disabilities,1990.0,Americans With Disabilities,1990.0
Americans With Disabilities,1990.0,,
Anti Drug Abuse,1988.0,,
Anti Kickback,1986.0,,
Anti Price Discrimination,1936.0,,
Anti-Kickback,1986.0,,
Antitrust Procedures And Penalties,1974.0,,
Arms Export Control,1976.0,,
Assignment Of Claims,1940.0,,
Atomic Energy,1954.0,,
Automobile Dealers' Day in Court,1964.0,,
Aviation And Transportation Security,2001.0,,
Aviation Noise And Capacity,1990.0,,
Aviation Safety and Capacity Expansion,1990.0,,
Aviation Safety And Noise Abatement,1979.0,,
Balance Budget,1997.0,Balanced Budget,1997.0
Balanced Budget,1997.0,,
Balanced Budget Refinement,1999.0,,
Bank Enterprise,1991.0,,
Bank Holding Company,1956.0,,
Bank Secrecy,1970.0,,
Bank Service Company,1962.0,,
Banking,1933.0,,
Bankruptcy Reform,1978.0,,
Benefits Improvement And Protection,2000.0,,
Bhc,1956.0,Bank Holding Company,1956.0
Bilingual Education,1968.0,Education,1968.0
Bioterrorism Response,2001.0,Public Health Security and Bioterrorism Preparedness Response,2002.0
Black Lung Benefits,1972.0,,
Black Lung Benefits Revenue,1977.0,,
Brady,1993.0,,
Brady Handgun Violence Prevention,1993.0,,
Broadcasting,1967.0,Public Broadcasting,1967.0
Budget Reconciliation,1993.0,,
Cable,1984.0,Cable Communications Policy,1984.0
Cable,1992.0,,
Cable Communications Policy,1984.0,,
Cable Television Consumer Protection And Competition,1992.0,,
Can Spam,2003.0,Controlling the Assault of Non-Solicited Pornography And Marketing Act,2003.0
Card,2009.0,Credit Card Accountability Responsibility and Disclosure ,2009.0
Cftc,1974.0,Commodity Futures Trading Commission,1974.0
Change In Bank Control,1978.0,,
Check 21,2008.0,Check Clearing for the 21st Century,2008.0
Check Clearing for the 21st Century,2008.0,,
Child Online Protection,1998.0,,
Children' S Online Privacy Protection,1998.0,,
Children' S Television,1990.0,,
Chinese Exclusion Repeal,1943.0,,
Civil Rights,1866.0,,
Civil Rights,1964.0,,
Civil Rights,1991.0,,
Clean Air,1970.0,,
Clean Air,1990.0,,
Clean Air Planning,2002.0,,
Clean Air Planning,2003.0,,
Clean Power,2002.0,,
Clean Power,2003.0,,
Clean Water,1977.0,,
Clear Skies,2003.0,,
Climate Stewardship,2003.0,,
Clinical Laboratory Improvement,1988.0,,
Coal Industry Retiree Health Benefit,1992.0,,
Coal Mine Safety and Health,1969.0,,
Coast Guard Authorization,1996.0,,
Commodity Exchange,1936.0,,
Commodity Futures Trading Commission,1974.0,,
Communications,1934.0,,
Communications Assistance for Law Enforcement,1994.0,,
Communications Decency,1996.0,,
Communications Satellite,1962.0,,
Community Development Banking And Financial Institutions,1994.0,,
Community Reinvestment,1977.0,,
Community Renewal Tax Relief,2000.0,,
Community Right To Know,1986.0,Emergency Planning And Community Right To Know,1986.0
Companies,1985.0,,
Competitive Equality Banking,1987.0,,
Comprehensive Energy Policy,1992.0,,
Comprehensive Environmental Response Compensation And Liability,1980.0,"Comprehensive Environmental Response, Compensation, And Liability",1980.0
"Comprehensive Environmental Response, Compensation And Liability",1980.0,"Comprehensive Environmental Response, Compensation, And Liability",1980.0
"Comprehensive Environmental Response, Compensation, And Liability",1980.0,,
Comprehensive Smoking Education,1984.0,,
Consolidated Appropriations,2004.0,,
Consolidated Budget Reconciliation,1985.0,,
Consolidated Omnibus Budget Reconciliation,1985.0,,
Consolidated Omnibus Budget Reconciliation,1986.0,,
Consolidated Omnibus Reconciliation,1985.0,,
Consumer Credit Protection,1968.0,,
Consumer Product Safety Improvement,2008.0,,
Continued Dumping And Subsidy Offset,2000.0,,
Controlled Substances,1970.0,,
Controlling the Assault of Non-Solicited Pornography And Marketing Act,2003.0,,
Copyright,1976.0,,
Cost Savings,1972.0,Motor Vehicle Information and Cost Savings,1972.0
Credit Card Accountability Responsibility and Disclosure ,2009.0,,
Crime Control,1990.0,,
